A,B,C,D,E
0.7588316765185944,0.5733358275564958,0.47515050294109695,0.4562145698329202,0.016358431124161465
0.9389273829524112,0.7892396518296884,0.2248499888040515,0.3901012538961549,0.3818453836486765
0.6373086644869936,0.45085759540517534,0.5398751541862314,0.8695745839930318,0.0027939723875261002
0.8272643333249402,0.8244446421431408,0.708252779138958,0.033612185012477536,0.028454346803693187
0.33636930574735224,0.6870491724074139,0.5056085438814534,0.9957010968881306,0.02581996638641193
0.6303918891947787,0.5621658341663485,0.8045821658429119,0.8054147151841025,0.22340049321084743
0.3976277792797386,0.9571622508064953,0.5059663436076979,0.007012894351270171,0.6604079683550877
0.44004391849807045,0.6915660430543605,0.10222419440490882,0.5936168503305189,0.24296183274053051
0.4286499426064255,0.9470621003816838,0.6806537325562044,0.982357172796334,0.9794579223398778
0.05202602630272357,0.7810584578472576,0.31958833915053164,0.9906907238915308,0.9592592907407416
0.3712086533571437,0.7286952444662441,0.8526329286783446,0.9008348285044457,0.06679595360634394
0.06821267773689921,0.8238768415745574,0.07244951860541426,0.03777138607732067,0.9714402573027654
0.07874397696832858,0.05685073726348311,0.34701611714092695,0.5967500505328347,0.5050845722535575
0.6013718706794551,0.5170801189586971,0.5048789071134633,0.36814107102625937,0.22786658684644745
0.14939469263817928,0.6660358251646268,0.5551240394850703,0.7499716620953513,0.675039371968462
0.1964978016388096,0.5189706275054865,0.8997346917547266,0.7809995865437295,0.45669609463792027
0.2531086741525864,0.5149304719186273,0.5970996805221997,0.7363803978630119,0.5435496886246312
0.982509266051249,0.7121259180525402,0.9986021804809209,0.05800681638745342,0.9634817939163973
0.34541372425101524,0.2393897739635541,0.07080424373315719,0.2527836708032305,0.9120958218681796
0.012093704258340998,0.31365495989860503,0.1430032250400768,0.4164995612081991,0.9384391304506906
0.6080723049203771,0.40844628271439964,0.21203779432947556,0.9067561891355678,0.5750248899115793
0.31538094604185407,0.4026667784964453,0.0066862482149273594,0.7063140462845974,0.4455757219338715
0.16194785863261218,0.5206402127439472,0.2501669453903155,0.7605322300074857,0.5218212015060594
0.17573692445671807,0.6961864475246141,0.2567388434267991,0.8887247302729269,0.19560999341105578
0.8301453338895601,0.09014761190063592,0.3956951639244831,0.6334845530893775,0.22693495511830597
0.2936995624063987,0.9325452667110834,0.307287671580149,0.9646521818409663,0.4182966274381186
0.3899637463634349,0.10430988459905799,0.33708236866023666,0.09998692884944116,0.49964144041993286
0.749488968352699,0.636442120473804,0.5755042388603986,0.4437428986077272,0.7491460705139983
0.39745455850353484,0.4206909385350367,0.934921235485576,0.9326101687894379,0.13665654672104277
0.31609481403777107,0.3324932166641634,0.5423299375043789,0.7231601768986748,0.4794754848592736
0.7831677012196447,0.44769249035249137,0.9452620465479824,0.33692086764028695,0.7210276956621875
0.8929143256819021,0.09631173778646385,0.566254690569969,0.07423630366641398,0.1362327503301486
0.5032958919344349,0.3947235802560538,0.39641994487660803,0.8002819124831754,0.6863614937808551
0.5065515675421457,0.16900290848769772,0.05036392987497751,0.7585240486478938,0.4945083719855522
0.955871380525762,0.029140724899382353,0.03231248066090342,0.18452397848056057,0.1120425948964211
0.48544383692728577,0.03973897031088347,0.3249697756335246,0.4124600965176539,0.03191640937894136
0.4512669765657902,0.8719266169004645,0.5599157934615651,0.25711471475241743,0.2806463554770565
0.35200033663087804,0.26310543341112824,0.37041637231452906,0.9295430226755164,0.21098615135705423
0.7114155636094859,0.7939401320834072,0.06550610180876415,0.28524972833727624,0.7270957845378792
0.7472083170553133,0.022389474240186447,0.2860706019990742,0.37613099396492733,0.9577621048180706
0.8970774476932576,0.9587788352184626,0.30484926988452543,0.5292309759652178,0.9819203564240278
0.20290010125977043,0.9613009783429948,0.7419430239581425,0.9192907988269827,0.4938384953533034
0.34696341639852446,0.25022910084226635,0.3245410285011655,0.8026830685439774,0.35523303414178053
0.20803921560316585,0.3093140214660085,0.9604654560126118,0.5161718729177786,0.7087946739765274
0.054494151225242815,0.3017001433682124,0.2569439573716401,0.9421601582097993,0.5092686988894461
