A,B,C,D,E
0.8146911604450086,0.5197801591443758,0.9174774612903408,0.35163202323187215,0.21902339699017592
0.9955714709339981,0.927946520899119,0.5820736069241687,0.9092214340545478,0.18282297007544424
0.23779723504244998,0.8641085535722516,0.8086822292857043,0.09907512525253881,0.06381604223294102
0.6228367176742874,0.38282696738071054,0.7549430586784616,0.6556443894742084,0.445134168017827
0.10308114208783181,0.9921613584822653,0.49194270730487344,0.4587883455387093,0.9314217528796105
0.7193889460964806,0.7254596848566913,0.48347254775556914,0.6177073878016437,0.10537277897615849
0.36015169958453586,0.5261708107619416,0.6875246011392887,0.06551300275983296,0.6839967830645061
0.5125744987574972,0.515902636840059,0.04118926003549006,0.7186011764181456,0.9077433041806463
0.16723382194068237,0.19767278611834183,0.6296429014277809,0.6503842904057682,0.9091262322303261
0.0916576426009672,0.3887815586537392,0.6579318400126862,0.1651625350523912,0.9817232229677036
0.26734752502133585,0.5211109435208792,0.11347340784251336,0.6052842843405497,0.9200338814178308
0.41355983307542565,0.0169642561604193,0.6329151052621317,0.657244008440592,0.048374564053135005
0.3709714667655457,0.9461268983242784,0.5524669271123519,0.613732596232771,0.04505646716397205
0.5377853289729517,0.340895683709841,0.7348548639914547,0.3705425663291261,0.7939826665451721
0.3688994415777276,0.129054314769235,0.46251768000983606,0.47825063609010654,0.47376363080560413
0.18306586635376565,0.559892568258105,0.4621716850467743,0.34496567537281886,0.4806323698378142
0.9668441403219814,0.6208381337691078,0.9358777007255278,0.8805564629527978,0.813612746450257
0.14873218308662428,0.36519876831838793,0.2477671102141611,0.04486848899345652,0.5086332933300989
0.34306387766514723,0.27669446229381434,0.660503427206035,0.30908614396842304,0.36010512583339405
0.9905723521607285,0.8802347041511189,0.5253537958965787,0.5836233323827602,0.1130926959069386
0.5779820546520745,0.7142848951909997,0.9395281118141704,0.13992905298935487,0.6309243239298291
0.29849733403035816,0.523326307437083,0.44504592240539176,0.5521810158283633,0.6665903956362929
0.2871165710031799,0.6123294741334501,0.37519833263992053,0.6756684193855362,0.2925847802935537
0.5423398658020934,0.7965129576596588,0.7434495704078905,0.6953358257428872,0.5096692193716016
0.34023355337703765,0.3546185915954998,0.08687719876670008,0.14006559546082165,0.6453943460843993
0.35070638274395227,0.7032280452562178,0.22555508645250366,0.4744087669057635,0.10049275133823066
0.8004412051909855,0.914373786002324,0.8236732201405673,0.46975856416418205,0.9109546061441363
0.5204149295746728,0.07453679253222778,0.9162332986249673,0.6213472732566995,0.6201748425240322
0.8600353356498835,0.31047459690158197,0.3503218776887784,0.032636979913666986,0.26918671366624025
0.42855234100021,0.9812700651560866,0.3297844607185394,0.3218502520318781,0.43163588336721814
0.3894439919803975,0.3640209295992649,0.5901598743141724,0.40599082066143377,0.5446501053240493
0.762074343085754,0.5499109966209518,0.7905615047373498,0.06807511347940376,0.8318561471894509
